SMILES,Most Basic,Most Acidic,Mass Solubility pH 1,Mass Solubility pH 2,Mass Solubility pH 3,Mass Solubility pH 4,Mass Solubility pH 5,Mass Solubility pH 6,Mass Solubility pH 7,Mass Solubility pH 8,Mass Solubility pH 9,Mass Solubility pH 10,LogD pH 1,LogD pH 2,LogD pH 3,LogD pH 4,LogD pH 5,LogD pH 6,LogD pH 7,LogD pH 8,LogD pH 9,LogD pH 10,Water Solubility,Caco-2 permeable,Melting Point (°C),Boiling Point (°C),Bioavailability,Bi Basic,Bi Acidic
C[C@]12CC[C@H]3[C@@H](CCc4cc(OC(=O)N(CCCl)CCCl)ccc34)[C@@H]1CC[C@@H]2O,-1.88,15.05,-4.102372908709558,-4.102372908709558,-4.102372908709558,-4.102372908709558,-4.102372908709558,-4.102372908709558,-4.102372908709558,-4.102372908709558,-4.102372908709558,-4.102372908709558,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,-3.4145392704914994,0.6013,,,1.0,1.0,1.0
C[C@]12CC[C@H]3[C@@H](CCc4cc(OC(=O)c5ccccc5)ccc34)[C@@H]1CC[C@@H]2O,,15.06,-3.8239087409443187,-3.8239087409443187,-3.8239087409443187,-3.8239087409443187,-3.8239087409443187,-3.8239087409443187,-3.8239087409443187,-3.8239087409443187,-3.8239087409443187,-3.8239087409443187,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,-3.7235381958267557,,,,1.0,0.0,1.0
C[C@]12CC[C@H]3[C@@H](CCc4cc(OC5CCCC5)ccc34)[C@@H]1CC[C@@]2(O)C#C,,13.1,-3.4814860601221125,-3.4814860601221125,-3.4814860601221125,-3.4814860601221125,-3.4814860601221125,-3.4814860601221125,-3.4814860601221125,-3.4814860601221125,-3.4814860601221125,-3.4814860601221125,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,-2.8041003475907664,0.8214,2.031408464251624,,1.0,0.0,1.0
C[C@]12C[C@H](O)[C@@]3(F)[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1C[C@@H](O)[C@]2(O)C(=O)CO,,11.57,-0.619788758288394,-0.619788758288394,-0.619788758288394,-0.619788758288394,-0.619788758288394,-0.619788758288394,-0.619788758288394,-0.619788758288394,-0.619788758288394,-0.619788758288394,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.52,-0.0721165896692931,0.7397,,,1.0,0.0,1.0
C[C@]12C[C@H](O)[C@@]3(F)[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO,,12.11,-1.494850021680094,-1.494850021680094,-1.494850021680094,-1.494850021680094,-1.494850021680094,-1.494850021680094,-1.494850021680094,-1.494850021680094,-1.494850021680094,-1.494850021680094,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,-0.6497519816658371,0.8415,,,1.0,0.0,1.0
C[C@]12C[C@H](O)[C@@]3(F)[C@@H](C[C@H](F)C4=CC(=O)C=C[C@]34C)[C@@H]1C[C@@H](O)[C@]2(O)C(=O)CO,,11.42,-0.744727494896694,-0.744727494896694,-0.744727494896694,-0.744727494896694,-0.744727494896694,-0.744727494896694,-0.744727494896694,-0.744727494896694,-0.744727494896694,-0.721246399047171,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,-0.46597389394386496,,,,1.0,0.0,1.0
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO,,12.46,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,-0.6516951369518393,-0.5096,2.3710678622717363,,1.0,0.0,1.0
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)COC(=O)CCCc5ccc(cc5)N(CCCl)CCCl,4.65,12.32,-1.853871964321762,-2.0409586076789066,-2.721246399047171,-3.5686362358410126,-4.1487416512809245,-4.292429823902063,-4.309803919971486,-4.309803919971486,-4.309803919971486,-4.309803919971486,2.56,2.77,3.43,4.3,4.87,5.02,5.03,5.03,5.03,5.03,-3.192464971931147,,,,0.0,1.0,1.0
C[C@]12Cc3cnoc3C=C1CC[C@@H]4[C@@H]2CC[C@@]5(C)[C@H]4CC[C@@]5(O)C#C,-1.14,13.1,-2.6020599913279625,-2.6020599913279625,-2.6020599913279625,-2.6020599913279625,-2.6020599913279625,-2.6020599913279625,-2.6020599913279625,-2.6020599913279625,-2.6020599913279625,-2.6020599913279625,4.94,4.94,4.94,4.94,4.94,4.94,4.94,4.94,4.94,4.94,-1.75448733218585,0.8866,2.3531465462139796,,1.0,1.0,1.0
C[C@]12O[C@H](C[C@]1(O)CO)n3c4ccccc4c5c3c6n2c7ccccc7c6c8CNC(=O)c58,-0.85,13.37,-4.036212172654444,-4.036212172654444,-4.036212172654444,-4.036212172654444,-4.036212172654444,-4.036212172654444,-4.036212172654444,-4.036212172654444,-4.036212172654444,-4.036212172654444,4.77,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,-0.978810700930062,,,,1.0,1.0,1.0
C[N+](C)([O-])CCC=C1c2ccccc2CCc3ccccc13,4.63,,3.0,3.0,3.0,2.6009728956867484,2.041392685158225,1.8976270912904414,1.8808135922807914,1.8808135922807914,1.8808135922807914,1.8808135922807914,-1.23,-0.75,0.13,1.04,1.6,1.74,1.75,1.75,1.75,1.75,-3.5575202309355514,,,,1.0,1.0,0.0
C[S](=O)(=O)CCC(N)C(O)=O,8.76,2.1,2.6522463410033232,1.9637878273455553,1.7481880270062005,1.7323937598229686,1.724275869600789,1.724275869600789,1.7323937598229686,1.8388490907372552,2.3180633349627615,3.0,-4.31,-4.0,-3.86,-3.84,-3.83,-3.84,-3.85,-3.94,-4.36,-4.9,1.6424645202421213,-0.6525,,,1.0,1.0,1.0
C[S](=O)(=O)CCNCc1oc(cc1)c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2,6.34,,-1.6777807052660807,-1.6777807052660807,-1.6989700043360187,-2.2365720064370627,-3.853871964321762,-5.154901959985743,-5.6777807052660805,-5.769551078621726,-5.769551078621726,-5.769551078621726,2.2,2.2,2.23,2.75,4.39,5.7,6.21,6.29,6.3,6.3,-1.6516951369518393,-0.5858,,,0.0,1.0,0.0
