SMILES,Bi Basic,Bi Acidic,Bioavailability
CC(C)(C)NCC(O)COc1cccc2NC(=O)CCc12,1,1,1.0
CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1,1,1,1.0
CC(C)(C)NCC(O)c1cc(O)cc(O)c1,1,1,1.0
CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,1,1,1.0
CC(C)(C)NC[C@@H](O)COc1ccccc1C2CCCC2,1,1,1.0
CC(C)(C)NC[C@H](O)COc1cccc2C(=O)CCCc12,1,1,1.0
CC(C)(C)NC[C@H](O)COc1nsnc1N2CCOCC2,1,1,1.0
CC(C)(C)NC[C@H](O)c1ccc(O)c(CO)c1,1,1,1.0
CC(C)(C)O,0,1,1.0
CC(C)(C)[S](=O)(=O)C[C@H](Cc1ccccc1)C(=O)N[C@@H](Cc2[nH]cnc2)C(=O)N[C@H](CC3CCCCC3)[C@H](O)[C@H](O)C4CC4,1,1,0.0
CC(C)(C)c1cc(SC(C)(C)Sc2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C)cc(c1O)C(C)(C)C,0,1,0.0
CC(C)(C)c1cc(SC(C)(C)Sc2cc(c(OC(=O)CCC(O)=O)c(c2)C(C)(C)C)C(C)(C)C)cc(c1O)C(C)(C)C,0,1,0.0
CC(C)(C)c1ccc(CN2CCN(CC2)C(c3ccccc3)c4ccc(Cl)cc4)cc1,1,0,1.0
CC(C)(C)c1ccc(cc1)C(=O)CCCN2CCC(CC2)OC(c3ccccc3)c4ccccc4,1,0,1.0
CC(C)(C)c1ccc(cc1)C(O)CCCN2CCC(CC2)C(O)(c3ccccc3)c4ccccc4,1,1,1.0
CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)NCCSSCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)CO,1,1,0.0
CC(C)(CO)[C@@H](O)C(=O)NCCCO,1,1,1.0
CC(C)(N)Cc1ccc(Cl)cc1,1,0,1.0
CC(C)(N)Cc1ccccc1,1,0,1.0
CC(C)(N)Cc1ccccc1Cl,1,0,1.0
CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(O)=O,1,1,1.0
CC(C)(Oc1ccc(Cl)cc1)C(=O)OCCCOC(=O)C(C)(C)Oc2ccc(Cl)cc2,0,0,0.0
CC(C)(Oc1ccc(cc1)C2CC2(Cl)Cl)C(O)=O,0,1,1.0
CC(C)(c1ccc(O)cc1)c2ccc(O)cc2,0,1,1.0
CC(C)(c1ccccc1)c2ccc(O)cc2,0,1,1.0
CC(C)(c1cccnc1)C(=O)c2cccnc2,1,0,1.0
CC(C)=CC1C(C(=O)OCc2cccc(Oc3ccccc3)c2)C1(C)C,0,0,1.0
